"128v -- Väestöennuste 2019: Väestö iän ja sukupuolen mukaan alueittain, 2019-2040"

"Alue";"Vuosi";"Yhteensä Yhteensä Väestö 31.12. (ennuste 2019)"
"MK12 Pohjois-Karjala";"2032";152348
"MK12 Pohjois-Karjala";"2033";151639
"MK12 Pohjois-Karjala";"2034";150908
"MK12 Pohjois-Karjala";"2035";150155
"MK12 Pohjois-Karjala";"2036";149386
"MK12 Pohjois-Karjala";"2037";148610
"MK12 Pohjois-Karjala";"2038";147811
"MK12 Pohjois-Karjala";"2039";146990
"MK12 Pohjois-Karjala";"2040";146164
"MK13 Keski-Suomi";"2019";275193
"MK13 Keski-Suomi";"2020";274835
"MK13 Keski-Suomi";"2021";274462
"MK13 Keski-Suomi";"2022";274071
"MK13 Keski-Suomi";"2023";273668
"MK13 Keski-Suomi";"2024";273270
"MK13 Keski-Suomi";"2025";272857
"MK13 Keski-Suomi";"2026";272412
"MK13 Keski-Suomi";"2027";271961
"MK13 Keski-Suomi";"2028";271477
"MK13 Keski-Suomi";"2029";270972
"MK13 Keski-Suomi";"2030";270423
"MK13 Keski-Suomi";"2031";269844
"MK13 Keski-Suomi";"2032";269226
"MK13 Keski-Suomi";"2033";268554
"MK13 Keski-Suomi";"2034";267855
"MK13 Keski-Suomi";"2035";267106
"MK13 Keski-Suomi";"2036";266321
"MK13 Keski-Suomi";"2037";265494
"MK13 Keski-Suomi";"2038";264632
"MK13 Keski-Suomi";"2039";263745
"MK13 Keski-Suomi";"2040";262846
"MK14 Etelä-Pohjanmaa";"2019";188699
"MK14 Etelä-Pohjanmaa";"2020";187713
"MK14 Etelä-Pohjanmaa";"2021";186739
"MK14 Etelä-Pohjanmaa";"2022";185794
"MK14 Etelä-Pohjanmaa";"2023";184858
"MK14 Etelä-Pohjanmaa";"2024";183940
"MK14 Etelä-Pohjanmaa";"2025";183043
"MK14 Etelä-Pohjanmaa";"2026";182163
"MK14 Etelä-Pohjanmaa";"2027";181283
"MK14 Etelä-Pohjanmaa";"2028";180405
"MK14 Etelä-Pohjanmaa";"2029";179523
"MK14 Etelä-Pohjanmaa";"2030";178645
"MK14 Etelä-Pohjanmaa";"2031";177758
"MK14 Etelä-Pohjanmaa";"2032";176883
"MK14 Etelä-Pohjanmaa";"2033";176008
"MK14 Etelä-Pohjanmaa";"2034";175130
"MK14 Etelä-Pohjanmaa";"2035";174243
"MK14 Etelä-Pohjanmaa";"2036";173365
"MK14 Etelä-Pohjanmaa";"2037";172501
"MK14 Etelä-Pohjanmaa";"2038";171641
"MK14 Etelä-Pohjanmaa";"2039";170792
"MK14 Etelä-Pohjanmaa";"2040";169919
"MK15 Pohjanmaa";"2019";180668
"MK15 Pohjanmaa";"2020";180536
"MK15 Pohjanmaa";"2021";180409
"MK15 Pohjanmaa";"2022";180268
"MK15 Pohjanmaa";"2023";180121
"MK15 Pohjanmaa";"2024";179959
